id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag RA DEC
211 818.01207 480.96671 0.59932614 -0.01098152 0.099411653 121 0 6743 3.5171917 -1.3654901 48.899478 57.386197
212 1161.4524 480.85951 0.7127937 0.071663319 0.056977045 121 0 6325 1.3967377 -0.36278716 49.107382 57.370728
213 1504.6151 483.99867 0.95190573 -0.18569484 0.050458298 121 0 6309 1.0837791 -0.087351891 49.315162 57.356031
215 795.14987 484.6651 0.37568558 -0.24713683 -0.0080769456 121 0 6299 2.0473334 -0.77797142 48.885932 57.388421
216 644.02233 486.99457 0.52545152 -0.48698503 0.18523235 121 0 6245 1.3261605 -0.30649024 48.794548 57.395869
217 1989.3922 500.23471 0.89052789 0.060747874 -0.034397991 121 0 7988 6.9335576 -2.1023903 49.609338 57.338608
218 2036.4466 505.03565 0.85234494 0.033680876 0.038802036 121 0 6761 2.7196848 -1.0862964 49.638156 57.337936
219 864.69031 506.77808 0.4634769 -0.018508202 0.14763182 121 0 6470 2.7714555 -1.1067698 48.929874 57.392541
220 1773.5226 512.1213 0.22784131 0.54452488 0.90859193 121 0 6118 1.070783 -0.074253687 49.480056 57.352675
221 2258.3915 510.50146 0.58311288 -0.015663509 -0.032371213 121 0 6637 3.1532339 -1.2468905 49.772512 57.329092
222 442.41443 512.19737 0.41578616 1.6412754e-05 0.31718787 121 0 6338 1.9596238 -0.73043176 48.674334 57.412927
223 1098.2461 522.32213 0.66392564 0.12003686 0.46889904 121 0 6233 1.0878538 -0.091426304 49.072599 57.387121
224 2230.7555 523.74535 0.97054147 0.13809466 -0.029610802 121 0 9420 10.729418 -2.5764404 49.757033 57.33474
225 1148.6914 528.32514 0.43407859 -0.14007148 -0.066220521 121 0 6202 1.512408 -0.44917241 49.103639 57.386795
226 982.65797 532.36582 0.93013897 -0.10340934 0.056099398 121 0 23391 58.334292 -4.4148098 49.003443 57.395609
227 705.59188 534.08424 0.32965748 0.066462987 -0.086221767 121 0 6164 1.3026773 -0.2870921 48.835698 57.408521
228 1078.9206 536.78954 0.65289281 -0.39848267 0.19461032 121 0 6360 1.7140111 -0.58503405 49.062107 57.392715
229 907.43846 537.50012 0.77475383 -0.0051785703 0.13270688 121 0 6364 1.5436096 -0.47134365 48.958304 57.400657
230 1983.7958 536.9758 0.40541827 0.42002721 0.11595419 121 0 6210 1.452564 -0.4053382 49.6092 57.350856
231 1020.5771 538.07771 0.46671853 -0.10079253 0.035246943 121 0 6404 2.4823934 -0.98717651 49.026883 57.395767
232 1047.3829 538.86452 0.69181694 0.095765789 0.06168814 121 0 6359 1.4692183 -0.41771583 49.043183 57.394816
233 573.29282 542.22101 0.42809645 -0.078195011 0.14978596 121 0 10934 27.260066 -3.5888173 48.756136 57.417006
234 2088.5666 541.60416 0.54305309 -0.14719473 -0.03556725 121 0 6296 1.6045132 -0.51335825 49.672846 57.347377
235 708.16176 545.68309 0.49568637 -0.10960345 -0.14401355 121 0 6228 1.3313817 -0.31075647 48.838202 57.412193
236 2234.9971 546.29614 0.87435276 -0.081453663 -0.13129447 121 0 6456 1.7264577 -0.59288988 49.761609 57.34189
238 420.13411 546.04149 0.46322462 0.097984675 0.29750577 121 0 6135 1.0572619 -0.060456488 48.663526 57.424945
239 846.72273 547.70686 0.9341988 -0.034661137 -0.012639813 121 0 6383 1.3105174 -0.29360695 48.922356 57.4067
240 1208.6721 549.82606 0.87770919 -0.1022103 0.04063022 121 0 6964 3.3558171 -1.3144957 49.141752 57.391086
241 592.14829 555.01727 0.4592053 -0.058806379 -0.0075625042 121 0 6305 1.7310161 -0.59575276 48.768608 57.420354
242 1557.3976 555.3678 0.95477105 -0.027318439 -0.1245596 121 0 6347 1.2221004 -0.2177672 49.353193 57.376868
243 529.76455 556.76946 0.87861762 -0.46295995 -0.21036211 121 0 6311 1.158605 -0.15983851 48.730907 57.423662
244 2210.7261 558.59776 0.93102478 -0.037301616 0.138577 121 0 6481 1.6584057 -0.54922692 49.748068 57.347068
245 513.16552 559.49183 0.31241325 -0.19817621 0.15608164 121 0 6423 2.9364136 -1.1695431 48.721055 57.425277
246 783.21355 561.02763 0.27427417 0.24779514 0.46183156 121 0 6129 1.2665222 -0.256532 48.884955 57.413874
247 1267.4775 563.534 0.90937411 -0.31358651 -0.06957447 121 0 6364 1.1725374 -0.17281672 49.178502 57.392878
248 2148.4608 564.0279 0.97712194 0.12982361 -0.18602047 121 0 7116 3.4864884 -1.3559706 49.710983 57.351826
249 2158.8137 565.18621 0.99841977 0.11237452 -0.044827143 121 0 11606 17.264271 -3.0928706 49.717334 57.351707
250 1068.0405 567.88407 0.37944494 0.049830251 0.10379533 121 0 6226 1.5972537 -0.50843479 49.058113 57.403354
251 122.63512 570.74384 0.56511006 -0.084742055 0.14460717 121 0 6612 2.7547729 -1.1002145 48.484848 57.445837
252 1395.4647 571.98082 0.68410328 -0.28455321 -0.39543015 121 0 6281 1.2083799 -0.20550869 49.256671 57.389768
253 2232.1032 573.41145 0.89819328 -0.043943781 0.1317631 121 0 7666 5.3773893 -1.8264287 49.762291 57.350871
254 801.91468 573.41115 0.33665637 -0.094989349 0.0046160154 121 0 6345 2.398017 -0.94963065 48.897308 57.417085
255 749.2638 576.86245 0.73896373 -0.18337247 0.072990173 121 0 6541 2.1677414 -0.84001868 48.865669 57.420549
